Compound	IUPAC	Alternative_names	CAS_ID	KEGG_ID	HMDB	PubChem	ChEBI_ID	FooDB	LipidMaps	Molecular_formula	Molecular_weight	Source_databases	AFC_ID	canonical_SMILES
kaempferol-3-glucoside		astragalin	480-10-4	C12249	HMDB0037429	5282102	30200	FDB016478	no entry found			CuCyc	AFC000959	C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O
alpha-ionone			127-41-3	C12286	HMDB0059883	5282108	32319	FDB014484	no entry found			"PMID_31263475;PMID_31743449"	AFC000960	CC1=CCCC(C1C=CC(=O)C)(C)C
9'-cis-neoxanthin			14660-91-4	C13431	HMDB0003020	5282217	35306	FDB019089	LMPR01070291			CuCyc	AFC000961	CC(=CC=CC=C(C)C=CC=C(C)C=C=C1C(CC(CC1(C)O)O)(C)C)C=CC=C(C)C=CC23C(CC(CC2(O3)C)O)(C)C
9-cis-violaxanthin				C13433	no entry found	5282218	35305	FDB007098	LMPR01070284			CuCyc	AFC000962	CC(=CC=CC=C(C)C=CC=C(C)C=CC12C(CC(CC1(O2)C)O)(C)C)C=CC=C(C)C=CC34C(CC(CC3(O4)C)O)(C)C
xanthoxin			07/07/8066	C13453	no entry found	5282222	32304	FDB030330	no entry found			CuCyc	AFC000963	CC(=CC=O)C=CC12C(CC(CC1(O2)C)O)(C)C
abscisic aldehyde				C13455	no entry found	5282224	31157	no entry found	LMPR0103050004			CuCyc	AFC000964	CC1=CC(=O)CC(C1(C=CC(=CC=O)C)O)(C)C
(3S,5R,6R)-3,5-dihydroxy-6,7-didehydro-5,6-dihydro-12'-apo-beta-caroten-12'-al				C14044	no entry found	5282319	34596	FDB030120	LMPR01070293			CuCyc	AFC000965	CC(=CC=CC=C(C)C=O)C=CC=C(C)C=C=C1C(CC(CC1(C)O)O)(C)C
(3S,5R,6S)-5,6-epoxy-3-hydroxy-5,6-dihydro-12'-apo-beta-caroten-12'-al				C14045	no entry found	5282320	34597	FDB030121	LMPR01070294			CuCyc	AFC000966	CC(=CC=CC=C(C)C=O)C=CC=C(C)C=CC12C(CC(CC1(O2)C)O)(C)C
alpha-tocotrienol		zeta1-tocopherol	1721-51-3	C14153	HMDB0006327	5282347	33270	FDB002434	LMPR02020054	C29H44O2	424.7	FoodData_Central	AFC000967	CC1=C(C2=C(CCC(O2)(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C(=C1O)C)C
gadoleic acid		"cis-9-eicosenoic acid;9Z-eicosenoic acid"	29204-02-2	no entry found	HMDB0062436	5282767	32419	FDB003771	LMFA01030084	C20H38O2	310.5	Costa de Conto et al 2011	AFC000968	CCCCCCCCCCC=CCCCCCCCC(=O)O
11,14-eicosadienoic acid			2091-39-6	C16525	HMDB0005060	5282805	93415	FDB012619	LMFA01030130			PMID_29606770	AFC000969	CCCCCC=CCC=CCCCCCCCCCC(=O)O
2-heptenal		"(E)-2-heptenal;hept-trans-2-en-1-al;hept-trans-2-enal"	2463-63-0	no entry found	HMDB0033827	5283316	143912	FDB008060	LMFA06000019			"phytochem.nal.usda;PMID_17002453;PMID_31743449;Liu et al 2018;Yajima et al 1985"	AFC000970	CCCCC=CC=O
2,4-heptadienal		"(E,E)-2,4-heptadienal;hepta-trans-2-trans-4-dien-1-al"	05/03/4313	no entry found	no entry found	5283321	132837	FDB029656	LMFA06000024			"phytochem.nal.usda;PMID_17002453;PMID_31743449"	AFC000971	CCC=CC=CC=O
2-octenal		"(E)-2-octenal;oct-trans-2-en-1-al"	2363-89-5	C21138	HMDB0013809	5283324	61748	FDB002956	LMFA06000029			"phytochem.nal.usda;PMID_17002453;PMID_31743449;Liu et al 2018;Yajima et al 1985"	AFC000972	CCCCCC=CC=O
2-nonenal	(E)-non-2-enal	"(E)-2-nonenal;trans-2-nonenal;3-hexyl-2-propenal;non-trans-2-en-al"	2463-53-8	no entry found	HMDB0031269	5283335	142592	FDB003312	LMFA06000041			"phytochem.nal.usda;PMID_17002453;PMID_21384347;PMID_31263475;PMID_31743449;Condursoa et al. 2012;Guler et al. 2014;Liu et al 2018"	AFC000973	CCCCCCC=CC=O
4-nonenal			2277-16-9	no entry found	HMDB0032535	5283337	no entry found	FDB010405	LMFA06000043			PMID_17002453	AFC000974	CCCCC=CCCC=O
(E)-6-nonenal			2277-20-5	no entry found	no entry found	5283338	no entry found	no entry found	LMFA06000044			"PMID_31263475;PMID_31743449"	AFC000975	CCC=CCCCCC=O
2-decenal	new	dec-trans-2-enal	3913-71-1	no entry found	HMDB0030999	5283345	133455	FDB002987	LMFA06000053			phytochem.nal.usda	AFC000976	CCCCCCCC=CC=O
(E,E)-2,4-decadienal		deca-trans-2-trans-4-dien-1-al	2363-88-4	no entry found	HMDB0036598	5283349	149547	FDB015511	LMFA06000057			"phytochem.nal.usda;PMID_31263475"	AFC000977	CCCCCC=CC=CC=O
oleamide		oleic acid amide	301-02-0	C19670	HMDB0002117	5283387	116314	FDB012436	LMFA08010004			CuCyc	AFC000978	CCCCCCCCC=CCCCCCCCC(=O)N
coenzyme Q8		ubiquinone-8	2394-68-5	C17569	HMDB0006709	5283546	61683	FDB024036	LMPR02010005			CuCyc	AFC000979	CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
22,23-dihydrobrassicasterol		"22-dihydrobrassicasterol;24-epi-campesterol"	4651-51-8	C01789	HMDB0002869	5283637	19809	FDB012521	LMST01030096			"CuCyc;phytochem.nal.usda;COCONUT"	AFC000980	CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C
clerosterol	new	"poriferasta-5,25-dien-3beta-ol;5,25-stigmastadienol"	2364-23-0	no entry found	HMDB0034197	5283638	166817	FDB012494	LMST01040124			"phytochem.nal.usda;COCONUT"	AFC000981	CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(=C)C
24-methylenelophenol		gramisterol	1176-52-9	C11522	HMDB0006846	5283640	29107	FDB011547	LMST01030100			"CuCyc;phytochem.nal.usda"	AFC000982	CC1C(CCC2(C1CC=C3C2CCC4(C3CCC4C(C)CCC(=C)C(C)C)C)C)O
24-ethylcholesta-5,24-dien-3beta-ol		"delta24-25-sitosterol;delta5,24-stigmastadienol"		no entry found	no entry found	5283643	no entry found	no entry found	LMST01040131			CuCyc	AFC000983	CCC(=C(C)C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C
crinosterol			17472-78-5	C08813	no entry found	5283660	155905	FDB030745	LMST01030114			CuCyc	AFC000984	CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C
episterol			474-68-0	C15777	HMDB0006847	5283662	23929	FDB024116	LMST01030115			CuCyc	AFC000985	CC(C)C(=C)CCC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)O)C)C
trans-3-hexen-1-ol		"(E)-3-hexen-1-ol;hex-trans-3-en-1-ol"	928-97-2	no entry found	no entry found	5284503	145715	FDB001293	LMFA05000113			"phytochem.nal.usda;Kim et al 2009;Yajima et al 1985"	AFC000986	CCC=CCCO
allantoate			99-16-1	C00499	HMDB0001209	5287444	17536	FDB030673	no entry found			"CuCyc;PMID_32431723"	AFC000987	C(C(=O)[O-])(NC(=O)N)NC(=O)N
D-(+)-cellotriose			33404-34-1	C06219	no entry found	5287993	3528	no entry found	no entry found			PMID_31934503	AFC000988	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O
1D-myo-inositol (1)-monophosphate				C01177	HMDB0000213	5288642	58433	FDB023090	no entry found			CuCyc	AFC000989	C1(C(C(C(C(C1O)O)OP(=O)([O-])[O-])O)O)O
1D-myo-inositol (3)-monophosphate				C04006	HMDB0006814	5288700	58401	FDB024095	no entry found			CuCyc	AFC000990	C1(C(C(C(C(C1O)O)OP(=O)([O-])[O-])O)O)O
(R)-mevalonate			1192-42-3	C00418	HMDB0000227	5288798	36464	FDB030148	no entry found			CuCyc	AFC000991	CC(CCO)(CC(=O)[O-])O
(R)-pantoate			470-29-1	C00522	HMDB0240389	5289105	15980	FDB030150	no entry found			CuCyc	AFC000992	CC(C)(CO)C(C(=O)[O-])O
D-xylulose			551-84-8	C00310	HMDB0001644	5289590	17140	FDB022698	no entry found			CuCyc	AFC000993	C(C(C(C(=O)CO)O)O)O
vitamin P		"quercetin rutinoside (rutin)/quercetin-O-neohesperidoside;quercitin 3-rutinoside;quercetin rutinoside"	"10163-13-0;153-18-4"	C05625	HMDB0003249	5293655	91643	FDB002536	no entry found			PMID_32538082	AFC000994	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O
12-oxo-(E)-10-dodecenoic acid			65410-38-0	C16309	HMDB0037326	5312889	19144	FDB000515	LMFA01060093			PMID_11171228	AFC000995	C(CCCCC(=O)O)CCCC=CC=O
cinnamyl alcohol		"(2E)-3-phenylprop-2-en-1-ol;3-phenyl-2-propen-1-ol"	104-54-1	C02394	HMDB0029698	5315892	17177	FDB000887	no entry found			"CuCyc;phytochem.nal.usda;Yajima et al 1985;COCONUT"	AFC000996	C1=CC=C(C=C1)C=CCO
cinnamoyltyramine			20384-14-9	no entry found	no entry found	5315911	no entry found	FDB030728	no entry found			CuCyc	AFC000997	C1=CC=C(C=C1)C=CC(=O)NCCC2=CC=C(C=C2)O
beta-acoradiene		(1R)-1,8-dimethyl-4-prop-1-en-2-ylspiro[4.5]dec-8-ene		no entry found	no entry found	5316209	no entry found	no entry found	no entry found			CuCyc	AFC000998	CC1CCC(C12CCC(=CC2)C)C(=C)C
DIBOA-beta-D-glucoside				C15772	HMDB0033734	5316752	80091	FDB011858	no entry found			CuCyc	AFC000999	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O
2-hexen-1-ol		trans-2-hexenol	2305-21-7	no entry found	HMDB0030952	5318042	144070	FDB008090	LMFA05000060			CuCyc	AFC001000	CCCC=CCO
isofraxidin		"7-hydroxy-6,8-dimethoxychromen-2-one;6,8-dimethoxy-7-hydroxycoumarin;6,8-dimethoxyumbelliferone"	486-21-5	C17480	no entry found	5318565	81121	FDB000696	no entry found			phytochem.nal.usda	AFC001001	COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC)O
trans-2-octen-1-ol		"(E)-2-octen-1-ol;oct-trans-2-en-1-ol"	18409-17-1	no entry found	no entry found	5318599	142616	FDB003346	LMFA05000124			"phytochem.nal.usda;PMID_17002453;PMID_31743449;Liu et al 2018;Yajima et al 1985"	AFC001002	CCCCCC=CCO
(Z)-beta-ocimene			3338-55-4	no entry found	HMDB0030088	5320250	87574	FDB001462	LMPR0102010020	C10H16	136.23	CuCyc	AFC001004	CC(=CCC=C(C)C=C)C
stigmasta-7,22,25-trien-3β-ol		(3beta,5alpha,22E,24S)-stigmasta-7,22,25-trien-3-ol	34991-42-9	no entry found	HMDB0034196	5321510	no entry found	FDB012492	LMST01040237			"phytochem.nal.usda;PMID_8463793;Cho et al 1993"	AFC001005	CCC(C=CC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)O)C)C)C(=C)C
phlorisobutyrophenone		2-methyl-1-(2,4,6-trihydroxyphenyl)propan-1-one	35458-21-0	C07351	no entry found	5326317	133419	FDB031107	no entry found			CuCyc	AFC001006	CC(C)C(=O)C1=C(C=C(C=C1O)O)O
beta-ionone epoxide			23267-57-4	no entry found	HMDB0034984	5352481	87546	FDB013585	no entry found			phytochem.nal.usda	AFC001007	CC(=O)C=CC12C(CCCC1(O2)C)(C)C
(Z,Z)-3,6-nonadienal		"3,6-nonadienal;nona-cis-3,6-cis-dien-1-al"	21944-83-2	C16323	HMDB0031152	5352808	80444	FDB003165	LMFA06000047			"phytochem.nal.usda;PMID_31263475"	AFC001008	CCC=CCC=CCC=O
quercetin 3-O-rhamnoside		quercetin rhamnoside	522-12-3	C01750	HMDB0135149	5353915	no entry found	FDB092130	no entry found			"Abu-Reidah et al 2013;PMID_32538082"	AFC001009	CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O
(-)-beta-caryophyllene			87-44-5	C09629	HMDB0036792	5281515	10357	FDB015736	LMPR0103120001			CuCyc	AFC001010	CC1=CCCC(=C)C2CC(C2CC1)(C)C
(Z)-2-nonenal			60784-31-8	no entry found	HMDB0031269	5354833	no entry found	FDB029683	LMFA06000041			PMID_31743449	AFC001011	CCCCCCC=CC=O
(Z)-2-decenal			2497-25-8	no entry found	no entry found	5354834	no entry found	FDB029711	LMFA06000053			PMID_31743449	AFC001012	CCCCCCCC=CC=O
superoxide			11062-77-4	C00704	HMDB0002168	5359597	18421	FDB022880	no entry found	O2-	31.999	CuCyc	AFC001013	[O-][O]
sulfur			7704-34-9	C00087	no entry found	5362487	26833	FDB003717	no entry found	S	32.07	CuCyc	AFC001014	[S]
(Z)-2-heptenal			57266-86-1	no entry found	no entry found	5362616	no entry found	FDB003486	LMFA06000019			PMID_31743449	AFC001015	CCCCC=CC=O
(Z)-6-nonenal			2277-19-2	no entry found	HMDB0030958	5362720	142591	FDB002937	LMFA06000044			"PMID_17002453;PMID_31743449;Condursoa et al. 2012;Guler et al. 2014;Liu et al 2018"	AFC001016	CCC=CCCCCC=O
(Z)-non-6-en-1-ol	(Z)-non-6-en-1-ol	"cis-6-nonen-1-ol;(Z)-non-6-en-1-ol;(Z)-6-nonen-1-ol;cis-6-nonenol;(6Z)-6-nonen-1-ol;(6Z)-non-6-en-1-ol;(6Z)-nonen-1-ol;non-cis-6-en-1-ol"	35854-86-5	no entry found	HMDB0040581	5362792	142603	FDB020363	LMFA05000135	C9H18O	142.24	"ChEBI;phytochem.nal.usda;PMID_17002453;PMID_31263475;PMID_31743449;Condursoa et al. 2012;Guler et al. 2014;Liu et al 2018;Yajima et al 1985"	AFC001017	CCC=CCCCCCO
(E)-non-6-en-1-ol		"(E)-6-nonenol;6-nonen-1-ol"	31502-19-9	no entry found	HMDB0059887	5362811	no entry found	FDB021469	LMFA05000133			"PMID_31263475;Guler et al. 2014"	AFC001018	CCC=CCCCCCO
(Z)-4-heptenal			6728-31-0	no entry found	HMDB0031483	5362814	no entry found	FDB008061	LMFA06000021			PMID_17002453	AFC001019	CCC=CCCC=O
(2E,6Z)-nona-2,6-dien-1-ol		"trans, cis-2,6-nonadien-1-ol;2-trans-6-cis-nonadien-1-ol;violet alcohol;(E,Z)-2,6-nonadien-1-ol;nona-trans-2-cis-6-dien-1-ol;(E,Z)-2,6-nonadienol"	"5820-89-3;28069-72-9"	no entry found	no entry found	"5320191;5362833"	142615	FDB017291	no entry found			"phytochem.nal.usda;PMID_21384347;PMID_31263475;Kim et al 2009;Liu et al 2018"	AFC001020	CCC=CCCC=CCO
(Z,E)-alpha-farnesene			26560-14-5	no entry found	HMDB0036066	5362889	39238	FDB014896	no entry found			CuCyc	AFC001021	CC(=CCCC(=CCC=C(C)C=C)C)C
cis-3-nonen-1-ol		"(Z)-3-nonen-1-ol;non-cis-3-en-1-ol;(Z)-3-nonenol"	10340-23-5	no entry found	HMDB0030959	5364631	no entry found	FDB002938	LMFA05000134			"phytochem.nal.usda;PMID_17002453;PMID_31263475;PMID_31743449;Condursoa et al. 2012;Kim et al 2009;Liu et al 2018;Yajima et al 1985"	AFC001022	CCCCCC=CCCO
2-pentenal		"trans-2-pentenal;pent-trans-2-en-1-al;(E)-2-pentenal"	764-39-6	no entry found	HMDB0031601	5364752	61722	FDB008234	no entry found			"CuCyc;phytochem.nal.usda;PMID_17002453;PMID_31743449;Liu et al 2018;Yajima et al 1985"	AFC001023	CCC=CC=O
cis-2-penten-1-ol		"pent-cis-2-en-1-ol;(Z)-2-penten-1-ol"	1575-95-0	no entry found	HMDB0031604	5364919	145352	FDB008239	LMFA05000110			"phytochem.nal.usda;PMID_17002453;Yajima et al 1985"	AFC001024	CCC=CCO
2-penten-1-ol		trans-2-pentenol	1576-96-1	no entry found	no entry found	5364920	89943	FDB008237	no entry found			CuCyc	AFC001025	CCC=CCO
(E)-2-nonen-1-ol		"trans-2-nonen-1-ol;non-trans-2-en-1-ol"	31502-14-4	no entry found	HMDB0041498	5364941	142604	FDB004252	LMFA05000131			"phytochem.nal.usda;Kim et al 2009"	AFC001026	CCCCCCC=CCO
(E)-2-decen-1-ol			18409-18-2	no entry found	HMDB0032532	5364942	no entry found	FDB010402	LMFA05000142			Liu et al. 2018	AFC001027	CCCCCCCC=CCO
2-hexen-4-one		trans-4-hexen-3-one	2497-21-4	no entry found	HMDB0035239	5365811	89801	FDB013898	no entry found			CuCyc	AFC001028	CCC(=O)C=CC
prelycopersene pyrophosphate		prephytoene diphosphate		C03427	HMDB0003023	5365949	14885	FDB023095	LMPR01070253			CuCyc	AFC001029	CC(=CCCC(=CCCC(=CCCC(=CC1C(C1(C)CCC=C(C)CCC=C(C)CCC=C(C)C)COP(=O)(O)OP(=O)(O)O)C)C)C)C
8-methylnonenoate			59320-77-3	C18202	HMDB0012183	5365959	81581	FDB028836	LMFA01030994			CuCyc	AFC001030	CC(C)C=CCCCCC(=O)O
2,3-oxidosqualene			7200-26-2	C01054	HMDB0001188	5366020	78662	FDB022476	no entry found			"PMID_8463793;Cho et al 1993"	AFC001031	CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC1C(O1)(C)C)C)C)C
3,7,11,15-tetramethyl-2-hexadecen-1-ol			7541-49-3	C01389	HMDB0002019	5366244	140431	FDB031117	LMPR0104010002			PMID_23153254	AFC001032	CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C
(-)-jasmonic acid methyl ester		methyl jasmonate	1211-29-6	C11512	HMDB0036583	5281929	15929	FDB015494	LMFA02020010			CuCyc	AFC001033	CCC=CCC1C(CCC1=O)CC(=O)OC
2-(2-pentenyl)furan		trans-2-(2-pentenyl)furan		no entry found	no entry found	5369957	no entry found	no entry found	no entry found	C9H12O	136.19	"PMID_21384347;Kim et al 2009"	AFC001034	CCC=CCC1=CC=CO1
(E)-indol-3-ylacetaldoxime			09/06/2776	C02937	no entry found	5371769	17545	FDB030141	no entry found			CuCyc	AFC001035	C1=CC=C2C(=C1)C(=CN2)CC=NO
2-methoxy-6-(all-trans-nonaprenyl)phenol				no entry found	no entry found	5372355	84522	no entry found	no entry found			CuCyc	AFC001036	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C)C)C)C
p-coumaroyltyramine			36417-86-4	no entry found	HMDB0039521	5372945	65665	FDB031080	no entry found			CuCyc	AFC001037	C1=CC(=CC=C1CCNC(=O)C=CC2=CC=C(C=C2)O)O
abscisic acid			21293-29-8	C06082	HMDB0035140	5375200	62426	FDB014933	LMPR0103050001			PMID_31263475	AFC001038	CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C
D-threo-isocitrate			6061-97-8	C00451	HMDB0001874	5459771	15562	FDB030800	no entry found			CuCyc	AFC001039	C(C(C(C(=O)[O-])O)C(=O)[O-])C(=O)[O-]
gibberellin A12 aldehyde		GA12-aldehyde	19436-07-8	C06093	HMDB0039484	5459783	15610	FDB019088	LMPR0104170040			CuCyc	AFC001040	CC12CCCC(C1C(C34C2CCC(C3)C(=C)C4)C=O)(C)C(=O)O
L-dopachrome			89762-39-0	C01693	HMDB0001430	5459802	15772	FDB022618	no entry found			CuCyc	AFC001041	C1C(NC2=CC(=O)C(=O)C=C21)C(=O)O
(3S)-2,3-epoxy-2,3-dihydrosqualene		(S)-2,3-epoxysqualene	54910-48-4	C01054	HMDB0059621	5459811	15441	FDB022476	LMPR0106010010			CuCyc	AFC001042	CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC1C(O1)(C)C)C)C)C
5alpha-cholesta-7,24-dien-3beta-ol			651-54-7	C05439	HMDB0006842	5459827	16290	FDB024115	LMST01010206			CuCyc	AFC001043	CC(CCC=C(C)C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)O)C)C
S-adenosyl-4-methylthio-2-oxobutanoate				C04425	no entry found	5459852	16490	FDB031149	no entry found			CuCyc	AFC001044	C[S+](CCC(=O)C(=O)[O-])CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
(Z)-indol-3-ylacetaldoxime			09/06/2776	C02937	no entry found	5459978	48577	FDB030181	no entry found			CuCyc	AFC001045	C1=CC=C2C(=C1)C(=CN2)CC=NO
L-iditol			488-45-9	C01507	HMDB0011632	5460044	18202	FDB028331	no entry found	C6H14O6	182.17	CuCyc	AFC001046	C(C(C(C(C(CO)O)O)O)O)O
4-maleyl-acetoacetate				no entry found	HMDB0002052	5460066	17105	FDB030509	no entry found			CuCyc	AFC001047	C(C(=O)CC(=O)[O-])C(=O)C=CC(=O)[O-]
aldehydo-D-glucuronate				no entry found	no entry found	5460126	142686	no entry found	no entry found			CuCyc	AFC001048	C(=O)C(C(C(C(C(=O)[O-])O)O)O)O
gibberellin A19		GA19	6980-44-5	C02034	HMDB0036896	5460209	28731	FDB015856	LMPR0104170039			CuCyc	AFC001049	CC1(CCCC2(C1C(C34C2CCC(C3)(C(=C)C4)O)C(=O)O)C=O)C(=O)O
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide		5’ProFAR	36244-83-4	C04896	HMDB0012287	5460212	18302	FDB030197	no entry found			CuCyc	AFC001050	C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)NC=NC3C(C(C(O3)COP(=O)(O)O)O)O)C(=O)N
(S)-2,3-dihydrodipicolinate				C03340	HMDB0012247	5460228	30620	FDB030155	no entry found			CuCyc	AFC001051	C1C=CC(=NC1C(=O)[O-])C(=O)[O-]
lupinic acid			67392-79-4	C01513	no entry found	5460288	30885	FDB004944	no entry found			phytochem.nal.usda	AFC001052	CC(=CCNC1=C2C(=NC=N1)N(C=N2)CC(C(=O)O)N)CO
fumarate		(E)-2-butenedioate	142-42-7	C00122	HMDB0000134	5460307	29806	FDB030865	no entry found	C4H2O4-2	114.06	"CuCyc;PMID_27130118;PMID_32679913"	AFC001053	C(=CC(=O)[O-])C(=O)[O-]
D-glycerate			473-81-4	C00258	HMDB0000139	5460358	16659	FDB008493	no entry found			CuCyc	AFC001054	C(C(C(=O)[O-])O)O
D-alanyl-D-alanine			923-16-0	C00993	HMDB0003459	5460362	16576	FDB006399	no entry found			CuCyc	AFC001055	CC(C(=O)NC(C)C(=O)O)N
gibberellin A44		GA44		C12308	HMDB0036901	5460372	28211	FDB015864	LMPR0104170030			CuCyc	AFC001056	CC12CCCC3(C1C(C45C3CCC(C4)(C(=C)C5)O)C(=O)O)COC2=O
3-phospho-hydroxypyruvate		phosphohydroxypyruvate	3913-50-6	C03232	HMDB0001024	5460375	18110	FDB022377	no entry found			CuCyc	AFC001057	C(C(=O)C(=O)[O-])OP(=O)([O-])[O-]
(S)-2,3,4,5-tetrahydrodipicolinate				C03972	HMDB0012289	5460405	16845	FDB030154	no entry found			CuCyc	AFC001058	C1CC(N=C(C1)C(=O)[O-])C(=O)[O-]
(2R)-phospho-3-sulfolactate		(2R)-2-O-phosphonato-3-sulfonatolactate		C11536	no entry found	5460422	15597	no entry found	no entry found			CuCyc	AFC001059	C(C(C(=O)[O-])OP(=O)([O-])[O-])S(=O)(=O)[O-]
3-acetamidopropanal			73323-68-9	C18170	HMDB0012880	5460495	30322	FDB029195	no entry found			CuCyc	AFC001060	CC(=O)NCCC=O
gibberellin A17		GA17	18411-79-5	no entry found	HMDB0036897	5460657	24236	FDB015858	LMPR0104170034			CuCyc	AFC001061	CC1(CCCC2(C1C(C34C2CCC(C3)(C(=C)C4)O)C(=O)O)C(=O)O)C(=O)O
behenate		docosanoate	112-85-6	C08281	HMDB0000944	5460660	23858	FDB021815	LMFA01010022			CuCyc	AFC001062	CCCCCCCCCCCCCCCCCCCCCC(=O)[O-]
crepenynate			2277-31-8	C07289	no entry found	5461139	14030	no entry found	LMFA01030742			CuCyc	AFC001063	CCCCCC#CCC=CCCCCCCCC(=O)[O-]
O-beta-D-glucosyl-trans-zeatin		trans-zeatin-O-glucoside		C03423	no entry found	5461146	38266	no entry found	no entry found			CuCyc	AFC001064	CC(=CCNC1=NC=NC2=C1NC=N2)COC3C(C(C(C(O3)CO)O)O)O
2-hydroxy-5-(methylthio)-3-oxopent-1-enyl phosphate				C15651	no entry found	5462148	50605	FDB030334	no entry found			CuCyc	AFC001065	CSCCC(=O)C(=COP(=O)(O)O)O
1,2-dihydroxy-5-(methylthio)pent-1-en-3-one			746507-19-7	C15606	HMDB0012134	5462190	49252	FDB030186	no entry found			CuCyc	AFC001066	CSCCC(=O)C(=CO)O
3-methylglutaconyl-CoA			6247-73-0	C03231	HMDB0001057	5462214	15488	FDB022396	LMFA07050235			CuCyc	AFC001067	CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)CC(=O)O
potassium			07/09/7440	C00238	HMDB0000586	5462222	26216	FDB003521	no entry found			"FoodData_Central;phytochem.nal.usda;Erhirhie and Ekene 2013"	AFC001068	[K]
(2S)-2-isopropyl-3-oxosuccinate				C04236	HMDB0012149	5462259	1467	FDB030114	no entry found			CuCyc	AFC001069	CC(C)C(C(=O)C(=O)O)C(=O)O
phosphorus			7723-14-0	C06262	HMDB0001315	5462309	28659	FDB013348	no entry found			"FoodData_Central;phytochem.nal.usda;Erhirhie and Ekene 2013"	AFC001070	[P]
boron			7440-42-8	C06266	HMDB0002386	5462311	27560	FDB003575	no entry found			phytochem.nal.usda	AFC001071	[B]
narcissin		isorhamnetin 3-O-rutinoside	604-80-8	no entry found	no entry found	5481663	145096	FDB000609	LMPK12110586			Abu-Reidah et al 2013	AFC001072	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O
semidehydroascorbic acid		monodehydroascorbate		C01041	HMDB0013004	5483640	16504	FDB029242	no entry found			CuCyc	AFC001073	C(C(C1C(=O)C(=C(O1)[O])O)O)O
baohuoside I		icariside II	113558-15-9	no entry found	no entry found	5488822	82619	no entry found	LMPK12112003	C27H30O10	514.5	Abu-Reidah et al 2013	AFC001074	CC1C(C(C(C(O1)OC2=C(OC3=C(C(=CC(=C3C2=O)O)O)CC=C(C)C)C4=CC=C(C=C4)OC)O)O)O
all-trans-geranyl-geranyl diphosphate			6699-20-3	C00353	HMDB0004486	5497105	58756	FDB023377	no entry found			CuCyc	AFC001075	CC(=CCCC(=CCCC(=CCCC(=CCOP(=O)([O-])OP(=O)([O-])[O-])C)C)C)C
oleoyl-CoA		cis-9-octadecenoyl-CoA	1716-06-9	C00510	HMDB0001322	5497111	15534	FDB022554	LMFA07050356			CuCyc	AFC001076	CCCCCCCCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
